Metric,Month,Value
openrank,2023-05,18.42
activity,2023-05,48.92
attention,2023-05,8
active_dates_and_times,2023-05,"[0, 0, 1, 7, 5, 4, 2, 0, 5, 4, 5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 4, 2, 0, 3, 0, 7, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 10, 3, 2, 3, 1, 1, 4, 5, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 2, 3, 3, 6, 0, 0, 0, 1, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 1, 1, 0, 2, 0, 1, 3, 1, 0, 6, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0]"
stars,2023-05,2
technical_fork,2023-05,3
participants,2023-05,18
new_contributors,2023-05,3
new_contributors_detail,2023-05,"['tc2000731', 'stevending1st', 'tyn1998']"
inactive_contributors,2023-05,21
bus_factor,2023-05,10
bus_factor_detail,2023-05,"[['xgdyp', 6], ['Zzzzzhuzhiwei', 3], ['birdflyi', 3], ['PureNatural', 5], ['frank-zsy', 7], ['tyn1998', 3], ['xiaoya-yaya', 3], ['stevending1st', 4], ['318352733', 3], ['tc2000731', 3]]"
issues_new,2023-05,13
issues_closed,2023-05,18
issue_comments,2023-05,72
code_change_lines_add,2023-05,11198
code_change_lines_remove,2023-05,1914
code_change_lines_sum,2023-05,9284
change_requests,2023-05,13
change_requests_accepted,2023-05,13
change_requests_reviews,2023-05,4
activity_details,2023-05,"[['frank-zsy', 6.93], ['xgdyp', 5.83], ['PureNatural', 4.36], ['stevending1st', 3.74], ['birdflyi', 3], ['Zzzzzhuzhiwei', 2.83], ['open-digger-bot[bot]', 2.65], ['tc2000731', 2.65], ['318352733', 2.65], ['tyn1998', 2.65], ['xiaoya-yaya', 2.45], ['bifenglin', 1.73], ['snyk-bot', 1.73], ['zhicheng-ning', 1.73], ['yanchaomei', 1], ['github-actions[bot]', 1], ['dwxa', 1], ['tisonkun', 1]]"
